timestamp,trial,filename,steps
004519,1,output_multimodal_vs_multimodal_tomato_salad_20250602_004519_trial1.csv,50
004519,2,output_multimodal_vs_multimodal_tomato_salad_20250602_004519_trial2.csv,18
004519,3,output_multimodal_vs_multimodal_tomato_salad_20250602_004519_trial3.csv,50
005805,1,output_multimodal_vs_multimodal_tomato_salad_20250602_005805_trial1.csv,50
005805,2,output_multimodal_vs_multimodal_tomato_salad_20250602_005805_trial2.csv,13
005805,3,output_multimodal_vs_multimodal_tomato_salad_20250602_005805_trial3.csv,36
010927,1,output_multimodal_vs_multimodal_tomato_salad_20250602_010927_trial1.csv,14
010927,2,output_multimodal_vs_multimodal_tomato_salad_20250602_010927_trial2.csv,18
010927,3,output_multimodal_vs_multimodal_tomato_salad_20250602_010927_trial3.csv,38
