timestamp,trial,horizon length,steps,completed,agent
004519,1,3,50,FALSE,llm
004519,2,3,18,TRUE,llm
004519,3,3,50,FALSE,llm
005805,1,5,50,FALSE,llm
005805,2,5,13,TRUE,llm
005805,3,5,36,TRUE,llm
010927,1,9,14,TRUE,llm
010927,2,9,18,TRUE,llm
010927,3,9,38,TRUE,llm
092934,1,3,50,FALSE,multimodal
092934,2,3,50,FALSE,multimodal
092934,3,3,50,FALSE,multimodal
095510,1,5,23,TRUE,multimodal
095510,2,5,50,FALSE,multimodal
095510,3,5,18,TRUE,multimodal
101258,1,9,50,FALSE,multimodal
101258,2,9,50,FALSE,multimodal
101258,3,9,22,TRUE,multimodal